trainer/Q Targets Mean,trainer/Q1 Predictions Std,evaluation/Actions Min,trainer/QF1 Loss,trainer/Alpha Loss,exploration/Num Paths,trainer/Log Pis Max,trainer/Alpha,evaluation/Returns Max,exploration/Returns Std,trainer/Log Pis Std,evaluation/Actions Mean,exploration/Returns Mean,evaluation/Rewards Min,evaluation/path length Max,evaluation/num paths total,evaluation/Rewards Max,evaluation/Returns Std,time/exploration sim sampling (s),exploration/Actions Std,trainer/Q Targets Min,evaluation/path length Min,evaluation/Actions Max,evaluation/Rewards Std,trainer/Policy mu Std,trainer/Q Targets Std,time/data storing (s),evaluation/Average Returns,exploration/Actions Min,time/total (s),trainer/Q2 Predictions Max,time/saving (s),trainer/Policy mu Mean,trainer/Q1 Predictions Min,exploration/Returns Min,exploration/Rewards Max,replay_buffer/size,exploration/path length Std,evaluation/path length Std,evaluation/Returns Min,evaluation/Num Paths,evaluation/Actions Std,trainer/Policy mu Max,evaluation/path length Mean,trainer/Q Targets Max,trainer/Q2 Predictions Min,exploration/Returns Max,time/epoch (s),evaluation/Returns Mean,exploration/Actions Max,exploration/path length Max,trainer/Q1 Predictions Max,evaluation/Rewards Mean,trainer/Policy log std Max,time/exploration real sampling (s),exploration/Average Returns,trainer/Log Pis Mean,trainer/Policy log std Std,trainer/Policy Loss,trainer/Log Pis Min,exploration/Actions Mean,exploration/Rewards Mean,trainer/Policy mu Min,exploration/path length Mean,time/logging (s),exploration/num paths total,time/evaluation sampling (s),trainer/QF2 Loss,exploration/Rewards Min,exploration/Rewards Std,exploration/path length Min,trainer/Policy log std Min,evaluation/num steps total,trainer/Q2 Predictions Std,Epoch,exploration/num steps total,trainer/Q1 Predictions Mean,trainer/Policy log std Mean,trainer/Q2 Predictions Mean,time/training (s)
-30.1758,19.1417,-4.60137,2.7545,0.04048722982406616,1,5.82592,0.20082154870033264,-429.944117113,0.0,1.78525,-0.633407,-61.3223782884,-7.03798254079,1000,55,-0.000391913591601,1850.89998415,7.496000762330368e-06,1.04448,-60.7281,1000,3.58837,1.93485691971,0.579547,19.3567,0.0006579340006283019,-1976.57730561,-3.92978,272.9877266740041,1.74044,0.010426765999000054,-1.41943,-60.6996,-61.3223782884,-0.00688298848902,0,0.0,0.0,-4259.95267602,5,1.04164,0.470804,1000.0,1.52391,-60.5858,-61.3223782884,24.995422755004256,-1976.57730561,2.41775,100,1.94384,-1.97657730561,0.0561203,0.06744721699942602,-61.3223782884,2.02522,0.190252,27.4147,-5.51005,-0.731114,-0.613223782884,-2.39317,100.0,0.01349912099976791,11,2.874674328002584,2.70903,-4.97999207828,0.775302793957,100,-0.999933,55000,19.1714,10,1100,-30.1969,-0.688427,-30.1614,22.028709893002087
-33.1671,20.9639,-4.43717,2.4574,-0.08055989444255829,1,5.1905,0.18636518716812134,-459.713183346,0.0,1.81179,-0.556692,-78.2786977484,-6.83804432572,1000,60,-0.000627055105084,1848.52259248,6.524001946672797e-06,1.10778,-65.1406,1000,3.38022,1.91163629765,0.86918,21.1255,0.0006068740040063858,-2007.60105465,-4.69582,297.4440813260044,1.72053,0.012670989999605808,-1.23702,-65.3135,-78.2786977484,-0.00231529660028,0,0.0,0.0,-4272.01293781,5,1.07937,1.72891,1000.0,1.62812,-66.342,-78.2786977484,24.449286486000346,-2007.60105465,2.40411,100,1.95677,-2.00760105465,-0.151174,0.0685147619988129,-78.2786977484,1.95205,0.132313,30.5435,-3.87696,-0.445905,-0.782786977484,-2.37087,100.0,0.013186050997319398,12,2.9010623440008203,2.58045,-2.53344827987,0.629140902131,100,-0.920441,60000,20.9714,11,1200,-32.9787,-0.663856,-33.0937,21.453238940997835
-30.5013,21.9598,-4.71613,2.4812,-0.12733832001686096,1,5.21238,0.18875505030155182,-484.80123139,0.0,1.71869,-0.560048,-125.990845371,-7.02835811014,1000,65,-0.000706436342856,85.0357369832,6.526999641209841e-06,1.14136,-70.1702,1000,2.99858,0.697595750382,0.960817,22.0851,0.0006439289973059203,-549.856937688,-3.17735,320.21024769500946,1.44092,0.01066451799852075,-1.13882,-70.5751,-125.990845371,-0.00221575413629,0,0.0,0.0,-715.867481557,5,1.01627,1.90079,1000.0,1.36854,-70.2501,-125.990845371,22.75910339099937,-549.856937688,2.20834,100,1.54893,-0.549856937688,-0.300159,0.06761705900134984,-125.990845371,1.92363,0.0980448,28.2719,-4.75934,-0.586964,-1.25990845371,-2.3724,100.0,0.014057530999707524,13,2.7367239230006817,2.24044,-8.72570583971,1.71560940818,100,-0.852362,65000,21.9577,12,1300,-30.7567,-0.673965,-30.7395,19.929389904002164
-36.7381,24.6483,-4.31116,1.88438,0.4497365355491638,1,5.58288,0.19339904189109802,-461.999116273,0.0,1.7402,-0.538218,-130.204823782,-7.31191079561,1000,70,-0.00114525394566,290.430580775,6.3540028349962085e-06,1.05808,-75.2882,1000,3.81341,1.07558135292,1.08691,24.7019,0.0006036949998815544,-712.264660912,-2.97866,343.5747484980129,1.38238,0.011158155000885017,-1.15581,-75.3877,-130.204823782,-0.0176374831032,0,0.0,0.0,-1096.72300144,5,1.03756,2.07628,1000.0,0.752565,-75.1137,-130.204823782,23.357908397003484,-712.264660912,2.8648,100,1.55527,-0.712264660912,-0.331736,0.06869082000048365,-130.204823782,2.2737,0.109346,34.4537,-5.27294,-0.46357,-1.30204823782,-2.38771,100.0,0.014085401999182068,14,2.7751473210009863,1.55349,-7.4899882894,1.49438521834,100,-1.04545,70000,24.6267,13,1400,-36.8227,-0.717328,-36.7672,20.48821664999923
-34.4746,26.1859,-4.68904,3.13885,-0.14047856628894806,1,5.16865,0.19292409718036652,-477.948194988,0.0,1.73184,-0.537725,-97.0827480389,-7.58600010859,1000,75,-0.000950985773272,245.407273616,6.001999281579629e-06,1.14202,-80.9999,1000,3.60737,0.965780141171,1.03768,26.4229,0.000603939999564318,-646.650311493,-3.15656,366.41988409000624,0.862655,0.010885445000894833,-1.0411,-79.9822,-97.0827480389,-0.00164107932654,0,0.0,0.0,-1133.26477467,5,1.03497,2.06306,1000.0,0.888718,-81.1249,-97.0827480389,22.838040924998495,-646.650311493,2.86456,100,1.1377,-0.646650311493,-0.287621,0.06782832599856192,-97.0827480389,1.91463,0.132759,32.0176,-6.42633,-0.511378,-0.970827480389,-2.21151,100.0,0.014151565999782179,15,2.7148279749999347,3.20658,-6.1892459104,1.21293937489,100,-1.16762,75000,26.1541,14,1500,-34.4883,-0.716355,-34.4962,20.029737671000476
-39.8285,28.884,-4.2441,3.43509,-0.37548530101776123,1,4.90584,0.18879486620426178,-497.346405996,0.0,1.70671,-0.511522,-78.1829079862,-7.3597350724,1000,80,-0.000819147720391,225.634946968,6.548001692863181e-06,1.11164,-86.4686,1000,3.72616,1.15109307379,1.12381,29.0909,0.0008977110010164324,-766.728396093,-3.68811,390.53617300400947,0.628251,0.011470990000816528,-0.909526,-86.4871,-78.1829079862,-0.0136272687144,0,0.0,0.0,-1170.62351643,5,1.04043,2.31525,1000.0,0.540358,-86.6361,-78.1829079862,24.109631076004007,-766.728396093,2.30695,100,1.27319,-0.766728396093,-0.22295,0.08224928499839734,-78.1829079862,1.77476,0.160126,36.786,-2.96486,-0.534392,-0.781829079862,-2.2385,100.0,0.013785978000669274,16,3.2919620190004935,3.41723,-4.92826528878,0.826329092167,100,-1.34852,80000,28.8545,15,1600,-39.3211,-0.709857,-39.4116,20.70925854500092
-40.5746,28.6925,-4.56069,4.71182,-0.0006943522021174431,1,5.18687,0.1907476931810379,-498.819773978,0.0,1.72865,-0.557877,-57.7590702527,-7.19323164968,1000,85,-0.000376178375442,42.2622920844,7.738999556750059e-06,1.05524,-90.278,1000,3.27905,0.694237783451,1.16488,28.7848,0.0006084269989514723,-538.375529297,-3.23922,413.3579556080076,0.355106,0.013737975001276936,-0.921151,-92.2377,-57.7590702527,-0.0150467736516,0,0.0,0.0,-612.14366345,5,1.02067,2.5039,1000.0,0.19003,-93.0399,-57.7590702527,22.814910037002846,-538.375529297,2.24196,100,0.634909,-0.538375529297,-0.177153,0.06737636899924837,-57.7590702527,1.99958,0.191411,37.909,-4.72135,-0.593991,-0.577590702527,-2.16355,100.0,0.013039575002039783,17,2.814480562999961,4.89442,-2.77516512886,0.563009035197,100,-1.46667,85000,28.5905,16,1700,-40.6807,-0.717674,-40.563,19.905659389001812
-37.3883,29.0339,-4.5651,6.28257,0.38747620582580566,1,5.54495,0.20074594020843506,-477.754249224,0.0,1.72005,-0.613659,-45.1258421876,-8.38837537274,1000,90,-0.000589756088313,175.106278972,6.570997356902808e-06,1.0775,-92.3653,1000,2.85278,0.901161947297,1.11557,28.9147,0.0006194670022523496,-629.831654545,-3.68599,436.9449120850077,0.133449,0.013763925999228377,-1.07726,-95.1047,-45.1258421876,-0.00248200047162,0,0.0,0.0,-931.708361074,5,1.00158,2.19953,1000.0,-0.125294,-96.7468,-45.1258421876,23.579782513999817,-629.831654545,2.12241,100,0.460681,-0.629831654545,-0.15702,0.06326850299956277,-45.1258421876,2.2413,0.203162,35.5503,-3.07457,-0.670483,-0.451258421876,-2.32347,100.0,0.012993258002097718,18,2.68055063599968,5.16782,-1.83866006524,0.470744455373,100,-1.58542,90000,28.9434,17,1800,-38.0503,-0.728616,-37.9481,20.80858015299964
-38.1336,28.5748,-4.92583,2.57378,-0.11038452386856079,1,4.99202,0.19610609114170074,-533.131080574,0.0,1.68747,-0.583987,-86.7469822937,-7.41594521821,1000,95,-0.000302471685593,88.1465439494,6.60000296193175e-06,1.12079,-92.4231,1000,3.4494,0.82649475913,1.16752,28.6333,0.0006105079992266838,-623.311952925,-3.53913,460.8747530150067,-0.320892,0.013986769998155069,-0.923908,-95.2485,-86.7469822937,-0.00418178391667,0,0.0,0.0,-767.763138184,5,1.02415,2.43711,1000.0,-0.176171,-95.7928,-86.7469822937,23.922684240998933,-623.311952925,3.84935,100,-0.271627,-0.623311952925,-0.238116,0.06566752599974279,-86.7469822937,1.93224,0.188453,35.6283,-6.56983,-0.480821,-0.867469822937,-2.24687,100.0,0.013163485000404762,19,2.683590319000359,2.51408,-5.83351766607,1.1496843546,100,-1.61354,95000,28.5028,18,1900,-38.3708,-0.706026,-38.2759,21.145659032998083
-39.0572,30.5266,-4.14156,4.90651,0.18744522333145142,1,5.35529,0.1876106709241867,-456.882623398,0.0,1.69313,-0.590713,-119.812774965,-7.18342151081,1000,100,-0.000223943834269,88.8492068646,6.369002221617848e-06,1.07996,-93.5428,1000,3.83383,0.704992533957,1.14369,30.7065,0.0006341840016830247,-524.217366412,-4.03935,484.70887365001545,-0.264792,0.011477788000775035,-1.0361,-95.0973,-119.812774965,-0.00302868119355,0,0.0,0.0,-691.750139002,5,1.03677,2.16678,1000.0,-0.662457,-95.6839,-119.812774965,23.826538352004718,-524.217366412,2.62339,100,-1.00342,-0.524217366412,-0.152309,0.06815948499934166,-119.812774965,2.11202,0.202839,36.9206,-5.6506,-0.581966,-1.19812774965,-2.4891,100.0,0.014133864002360497,20,2.73441809599899,4.89845,-7.865093271,1.7998994129,100,-1.6058,100000,30.631,19,2000,-39.6221,-0.711644,-39.4348,20.997708565999346
