trainer/Q2 Predictions Max,time/saving (s),time/logging (s),evaluation/Rewards Max,exploration/Num Paths,trainer/Q2 Predictions Min,exploration/num paths total,evaluation/Num Paths,evaluation/Rewards Std,evaluation/Returns Min,exploration/Rewards Std,trainer/Alpha,trainer/Policy mu Std,trainer/Q Targets Min,trainer/Q Targets Mean,exploration/Actions Min,evaluation/Returns Std,Epoch,evaluation/Actions Max,trainer/Policy log std Std,exploration/Returns Std,trainer/QF1 Loss,exploration/Actions Std,exploration/path length Min,trainer/Policy log std Mean,time/training (s),trainer/Log Pis Std,trainer/Q1 Predictions Std,evaluation/num paths total,evaluation/Actions Mean,time/data storing (s),evaluation/Actions Min,trainer/Q Targets Max,trainer/QF2 Loss,exploration/path length Max,evaluation/path length Std,trainer/Q1 Predictions Min,evaluation/Returns Mean,exploration/Rewards Mean,exploration/path length Std,exploration/Rewards Min,exploration/Average Returns,trainer/Policy Loss,exploration/Returns Mean,evaluation/num steps total,trainer/Policy mu Max,trainer/Policy log std Min,evaluation/Average Returns,trainer/Policy log std Max,time/exploration sim sampling (s),trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Min,replay_buffer/size,exploration/path length Mean,exploration/Actions Mean,evaluation/path length Max,time/total (s),exploration/Rewards Max,time/exploration real sampling (s),trainer/Q1 Predictions Mean,trainer/Q Targets Std,trainer/Q2 Predictions Mean,exploration/Returns Max,trainer/Log Pis Max,trainer/Log Pis Mean,exploration/num steps total,evaluation/path length Mean,exploration/Actions Max,trainer/Q1 Predictions Max,evaluation/Rewards Min,evaluation/Rewards Mean,evaluation/Actions Std,evaluation/Returns Max,evaluation/path length Min,time/epoch (s),trainer/Q2 Predictions Std,time/evaluation sampling (s),exploration/Returns Min,trainer/Alpha Loss
2.79744,0.012750501991831698,0.01393459300743416,-0.000862185559962,1,-41.5044,11,5,1.87626542831,-4185.45728582,1.06431583158,0.10183283686637878,0.553227,-43.5294,-9.67535,-3.08531,1833.52337118,10,2.8391,0.158554,0.0,0.954466,0.999508,100,-0.823366,21.44777793700632,2.00731,13.5365,55,-0.785539,0.0006815209926571697,-4.38593,2.74799,0.904411,100,0.0,-41.1298,-2677.97195281,-0.828878093832,0.0,-4.88125825312,-82.8878093832,8.53045,-82.8878093832,55000,-0.285382,-1.14558,-2677.97195281,-0.20305,9.006005711853504e-06,-4.44846,-1.30814,-2.60444,0,100.0,-0.564627,1000,260.1247264419071,-0.00342712774847,0.072359536003205,-9.718,13.5279,-9.7016,-82.8878093832,5.70839,1.80594,1100,1000.0,1.79714,2.90988,-7.01188900996,-2.67797195281,1.01207,-425.430124425,1000,24.713196034994326,13.5055,3.165682939987164,-82.8878093832,-0.4433008134365082
2.23706,0.012317211992922239,0.013504896007361822,-0.000560815348408,1,-38.9996,12,5,1.87525341313,-4161.59376041,1.55844619398,0.08947014063596725,0.579712,-39.5067,-8.8992,-3.77146,1806.32988713,11,3.00134,0.173489,0.0,1.03328,1.04645,100,-0.798148,20.48975325700303,1.99332,13.0253,60,-0.762433,0.0006141689955256879,-4.57595,2.31098,0.985025,100,0.0,-39.0373,-1932.49729948,-0.944849450787,0.0,-7.15621201873,-94.4849450787,8.0546,-94.4849450787,60000,-0.260098,-1.19541,-1932.49729948,-0.216067,8.345989044755697e-06,-4.31306,-1.29039,-2.66523,0,100.0,-0.664527,1000,283.4305440808821,-0.00673493015618,0.06725037000433076,-8.90812,13.1006,-8.83588,-94.4849450787,6.10847,1.91294,1200,1000.0,2.46757,2.19719,-6.71673465373,-1.93249729948,1.02075,-448.546430588,1000,23.30087901400111,13.0013,2.7174307640088955,-94.4849450787,-0.21013930439949036
1.92307,0.013345236991881393,0.013797289007925428,-0.000868052127567,1,-41.2024,13,5,0.561910224253,-521.282424689,0.570135935915,0.08513488620519638,0.583705,-43.6714,-8.90743,-4.57548,33.8675215585,12,3.19784,0.203072,0.0,0.536567,1.08211,100,-0.826622,22.182416181996814,1.96275,13.0375,65,-0.612545,0.0006170830019982532,-4.22783,1.79392,0.503058,100,0.0,-41.1078,-461.367235233,-0.626748226881,0.0,-2.60915246424,-62.6748226881,7.81892,-62.6748226881,65000,-0.329084,-1.27251,-461.367235233,-0.264085,8.270988473668694e-06,-4.99538,-1.25974,-2.581,0,100.0,-0.542292,1000,308.46518118288077,-0.00535620140729,0.06494220199238043,-8.76233,13.1495,-8.82111,-62.6748226881,6.12114,1.67645,1300,1000.0,2.1023,2.06252,-6.5353094287,-0.461367235233,1.0086,-420.66411842,1000,25.03010217899282,13.0861,2.754975915013347,-62.6748226881,-0.7970612049102783
1.37984,0.015357808006228879,0.013641863988596015,-0.000764696707016,1,-41.3727,14,5,0.657203465908,-626.566272604,0.833606063187,0.083220474421978,0.597629,-42.3536,-8.55753,-3.52889,56.9255838705,13,3.13038,0.193957,0.0,0.786081,0.984665,100,-0.861512,21.273644695000257,2.03574,12.4209,70,-0.610041,0.0006172180001158267,-4.40614,1.56122,0.744488,100,0.0,-41.3985,-516.997457671,-0.614983852308,0.0,-4.30019141034,-61.4983852308,8.00089,-61.4983852308,70000,-0.304918,-1.33683,-516.997457671,-0.343919,9.04400076251477e-06,-3.56356,-1.25621,-2.73878,0,100.0,-0.595714,1000,332.5912169628864,-0.00634679165311,0.0674794859951362,-8.68173,12.3108,-8.6442,-61.4983852308,6.04395,1.81981,1400,1000.0,1.87175,1.40768,-6.2393148708,-0.516997457671,1.02026,-466.688365184,1000,24.11668047698913,12.4152,2.7459303619980346,-61.4983852308,-0.4479762017726898
1.05924,0.011145911004859954,0.014451372000621632,-0.000813527261937,1,-40.6812,15,5,1.85374594517,-4154.96490411,1.07702717165,0.08160483837127686,0.599555,-41.5129,-8.07342,-3.45758,1783.16517941,14,2.97155,0.222678,0.0,0.898672,1.02828,100,-0.855308,19.09313521599688,1.8705,11.6027,75,-0.74666,0.0005969479971099645,-4.75975,1.06459,0.917457,100,0.0,-40.5386,-1960.67375398,-0.813058952681,0.0,-5.97885108147,-81.3058952681,7.4072,-81.3058952681,75000,-0.226929,-1.45275,-1960.67375398,-0.394745,9.086012141779065e-06,-5.369,-1.25955,-2.69083,0,100.0,-0.650738,1000,354.60133805491205,-0.00216824584375,0.06601553499058355,-7.91861,11.7239,-7.98147,-81.3058952681,5.77645,1.88002,1500,1000.0,2.35801,1.2124,-6.88885430839,-1.96067375398,1.02346,-465.677294772,1000,22.002430808992358,11.5558,2.81707674099016,-81.3058952681,-0.3006590008735657
0.705091,0.013496449013473466,0.013719486989430152,-0.00130399291616,1,-40.5048,16,5,1.85432754016,-4165.49835695,0.598684075439,0.07957189530134201,0.615023,-43.1271,-7.56124,-3.13509,1804.94103218,15,2.87985,0.239524,0.0,0.478938,1.02376,100,-0.905078,20.71613259500009,1.99064,11.6011,80,-0.799034,0.0006320890097413212,-4.59508,0.781023,0.509073,100,0.0,-41.1365,-2684.87278716,-0.552753931764,0.0,-2.54111539099,-55.2753931764,7.45173,-55.2753931764,80000,-0.35894,-1.46401,-2684.87278716,-0.348226,8.878996595740318e-06,-4.71421,-1.24418,-2.85997,0,100.0,-0.649711,1000,378.261543847897,-0.00168508123127,0.06615983200026676,-7.77564,11.5366,-7.68751,-55.2753931764,6.02166,1.80789,1600,1000.0,1.92483,0.712354,-7.42010929925,-2.68487278716,1.00609,-469.36456737,1000,23.652453129005153,11.5768,2.842303797995555,-55.2753931764,-0.4862382411956787
0.467346,0.012939020001795143,0.013405799996689893,-0.00132071140473,1,-39.4537,17,5,1.8840245211,-4189.05501101,0.902623640554,0.07589929550886154,0.659206,-41.5784,-7.35617,-2.99544,1814.05490832,16,3.29508,0.24805,0.0,0.397412,0.921789,100,-0.93828,20.43824007199146,1.87962,11.6067,85,-0.750715,0.0005856429925188422,-4.75355,0.759513,0.405418,100,0.0,-39.4183,-1955.64335647,-0.598613519659,0.0,-4.69817969335,-59.8613519659,7.03442,-59.8613519659,85000,-0.310408,-1.50037,-1955.64335647,-0.376435,1.3600991223938763e-05,-3.13633,-1.19875,-2.87615,0,100.0,-0.600966,1000,401.5365237638762,-0.00736788742126,0.0649444320006296,-7.30046,11.7757,-7.34839,-59.8613519659,6.14508,1.74865,1700,1000.0,1.66512,0.621313,-6.54041319591,-1.95564335647,1.02693,-435.184981965,1000,23.268680192966713,11.607,2.7385516249923967,-59.8613519659,-0.6480647921562195
0.35428,0.010944547000690363,0.01407650399778504,-0.000949820288284,1,-40.8497,18,5,1.86459049179,-4164.51408246,1.08196243354,0.07297736406326294,0.663816,-41.7402,-8.56302,-3.8084,1778.90427847,17,3.17323,0.231684,0.0,0.552776,1.01203,100,-0.934372,19.71582500799559,1.91401,11.4736,90,-0.72103,0.0006237719935597852,-4.79117,0.30234,0.428535,100,0.0,-41.1681,-1979.58610337,-0.812982127984,0.0,-5.65607678184,-81.2982127984,7.92298,-81.2982127984,90000,-0.206333,-1.50626,-1979.58610337,-0.423012,8.924995199777186e-06,-3.17716,-1.20577,-2.52843,0,100.0,-0.543404,1000,424.07841449386615,-0.00609150854299,0.06463298000744544,-8.24408,11.738,-8.47825,-81.2982127984,6.06531,1.87741,1800,1000.0,2.69382,0.718992,-7.43383143989,-1.97958610337,1.02426,-427.795512449,1000,22.535364982992178,11.6483,2.729253247001907,-81.2982127984,-0.32086044549942017
0.247328,0.014023105992237106,0.01411392200679984,-0.00139625277478,1,-38.9711,19,5,1.53693778454,-4125.89175379,0.913014677385,0.07306236028671265,0.698555,-40.4772,-9.62143,-3.86204,1454.96702706,18,3.45372,0.247357,0.0,0.483756,0.958669,100,-0.92274,19.361944748001406,1.95641,12.3025,95,-0.67064,0.0006239299982553348,-4.66186,0.0654378,0.576451,100,0.0,-39.0836,-1216.75107707,-0.668235668912,0.0,-5.02835544103,-66.8235668912,9.01521,-66.8235668912,95000,-0.309626,-1.50194,-1216.75107707,-0.345365,8.529008482582867e-06,-5.21187,-1.30545,-2.88766,0,100.0,-0.54446,1000,446.26535900287854,-0.00557825572614,0.07385708099172916,-9.43962,12.3457,-9.47184,-66.8235668912,7.0968,2.1943,1900,1000.0,2.74601,0.35906,-6.50159421199,-1.21675107707,1.03154,-456.953731734,1000,22.17968718300108,12.3597,2.7151158670021687,-66.8235668912,0.5084066987037659
-0.178968,0.011337506992276758,0.014304116994026117,-0.000281815600349,1,-39.3178,20,5,1.58951935568,-4148.6803509,1.28014301923,0.07429039478302002,0.706078,-40.0057,-8.63854,-2.7863,1443.25790353,19,3.06157,0.276328,0.0,0.68588,1.03945,100,-0.907941,20.631766356003936,2.04021,11.5024,100,-0.655325,0.0006134570139693096,-5.09978,-0.103363,0.717062,100,0.0,-39.621,-1264.85016689,-0.973480563374,0.0,-5.78375665284,-97.3480563374,8.16963,-97.3480563374,100000,-0.334334,-1.47128,-1264.85016689,-0.237609,9.404000593349338e-06,-4.87834,-1.2377,-2.68484,0,100.0,-0.552697,1000,470.13861921586795,-0.000938124064881,0.07224800699623302,-8.64108,11.5013,-8.7128,-97.3480563374,6.49061,1.88861,2000,1000.0,1.9759,-0.087067,-7.64372128034,-1.26485016689,1.02037,-460.039233266,1000,23.86476370001037,11.5509,3.1344848520093365,-97.3480563374,-0.28957927227020264
-0.342076,0.014161887011141516,0.01372203099890612,-0.00156105253629,1,-40.6663,21,5,1.86967512455,-4180.14475297,0.860737926529,0.0747671127319336,0.700827,-41.1915,-9.1626,-2.63184,1812.45215054,20,3.23199,0.245057,0.0,0.630449,0.947874,100,-0.898627,20.667630822994397,2.1652,11.5223,105,-0.723956,0.0006235649925656617,-4.48018,-0.316679,0.65679,100,0.0,-40.9073,-1955.08973895,-0.808237241594,0.0,-4.36689749594,-80.8237241594,9.10192,-80.8237241594,105000,-0.27054,-1.41207,-1955.08973895,-0.247779,8.836999768391252e-06,-4.41074,-1.30781,-2.77919,0,100.0,-0.489849,1000,493.63830926586525,-0.00366552403726,0.06674356199800968,-9.35985,11.5547,-9.26846,-80.8237241594,7.1836,2.1078,2100,1000.0,1.75494,-0.343405,-6.94333390396,-1.95508973895,1.03764,-454.807702823,1000,23.49271465498896,11.4786,2.72982394999417,-80.8237241594,0.27955472469329834
-0.56665,0.01425348200427834,0.013619965990073979,-0.00200938544071,1,-41.4249,22,5,1.85846162442,-4160.18945284,0.478222489851,0.07359272986650467,0.709032,-41.8355,-8.31236,-3.70875,1779.3716922,21,3.10899,0.264614,0.0,0.495749,1.03174,100,-0.938331,21.931512520997785,2.22158,11.441,110,-0.728308,0.0006079180020606145,-4.80896,-0.450392,0.487032,100,0.0,-41.7622,-1978.70766119,-0.469756609264,0.0,-2.66462590731,-46.9756609264,8.4324,-46.9756609264,110000,-0.30597,-1.42965,-1978.70766119,-0.231608,8.896997314877808e-06,-4.46515,-1.25179,-2.81819,0,100.0,-0.573124,1000,518.3936057548708,-0.0060524405186,0.06472247300553136,-8.5581,11.3465,-8.5715,-46.9756609264,7.16843,2.11641,2200,1000.0,2.15195,-0.495455,-6.16699983425,-1.97870766119,1.03023,-519.657938803,1000,24.748992968990933,11.3933,2.724267711993889,-46.9756609264,0.30374762415885925
-0.676509,0.016098775013233535,0.015948152999044396,-0.000371094317432,1,-41.1244,23,5,1.843271466,-4183.85986952,0.72258174982,0.07030286639928818,0.694828,-40.6707,-7.45333,-3.2237,1607.60745216,22,2.99363,0.296104,0.0,0.379862,0.970518,100,-0.970899,23.85912635900604,1.99518,9.88324,115,-0.775337,0.0006282480026129633,-4.78819,-0.659437,0.378731,100,0.0,-40.7437,-2257.24046975,-0.621129813267,0.0,-3.51527049487,-62.1129813267,7.31788,-62.1129813267,115000,-0.318358,-1.50469,-2257.24046975,-0.198311,9.25900531001389e-06,-4.44349,-1.22303,-2.82774,0,100.0,-0.553836,1000,545.4221866629086,-0.00951919081069,0.06548992500756867,-7.45242,9.93468,-7.55983,-62.1129813267,6.49154,1.82739,2300,1000.0,1.98926,-0.486163,-6.87151848822,-2.25724046975,1.01402,-500.278748225,1000,27.02388405003876,9.90947,3.0665833310049493,-62.1129813267,-0.45826655626296997
-0.781585,0.015947469000821002,0.014872337997076102,-0.000368376200272,1,-41.2444,24,5,1.87013312761,-4180.87719661,0.813907554432,0.06938139349222183,0.718688,-41.918,-9.19347,-3.0296,1799.55379022,23,3.03003,0.303797,0.0,0.481421,1.02263,100,-0.907474,31.387593624996953,1.88853,11.3153,120,-0.73429,0.0011074689973611385,-4.96087,-0.77239,0.482147,100,0.0,-41.21,-1971.7691525,-0.741917593875,0.0,-4.21452788891,-74.1917593875,9.1482,-74.1917593875,120000,-0.309314,-1.47806,-1971.7691525,-0.219336,1.3129989383742213e-05,-1.69049,-1.29049,-2.79278,0,100.0,-0.510186,1000,582.5761897678749,-0.00787834155351,0.11596296700008679,-9.2402,11.3511,-9.19442,-74.1917593875,6.8244,2.23733,2400,1000.0,2.86628,-0.672221,-6.98486285609,-1.9717691525,1.03589,-444.377173851,1000,37.14541851998365,11.2637,5.609921522001969,-74.1917593875,0.6332584619522095
-0.899391,0.014455476004513912,0.014221031990018673,-0.00173659217034,1,-40.7826,25,5,1.85704256437,-4147.13645674,0.899353801185,0.06809946149587631,0.750763,-40.9367,-9.39157,-3.11851,1795.49018644,24,2.90485,0.28992,0.0,0.589295,1.00082,100,-0.947105,21.99418139399495,2.05618,11.6503,125,-0.735154,0.0006599229964194819,-5.26421,-0.93192,0.658848,100,0.0,-41.0017,-1946.43400098,-0.588540881362,0.0,-5.79699773763,-58.8540881362,8.85492,-58.8540881362,125000,-0.307019,-1.50537,-1946.43400098,-0.218892,9.114999556913972e-06,-3.13218,-1.29352,-2.85991,0,100.0,-0.70462,1000,607.4984673638974,-0.00383578603868,0.06371947200386785,-9.36845,11.7611,-9.32843,-58.8540881362,7.4549,2.14996,2500,1000.0,1.89744,-0.846743,-6.03500598976,-1.94643400098,1.03055,-404.091231298,1000,24.915587096998934,11.6293,2.828340685009607,-58.8540881362,0.4028933644294739
